"scenario","n","metric","mean","median","q10","q90","scaled_median"
"strong",1000,"EetaS1",0.027186263109571,0.0233902159405373,0.00577006106369669,0.0538440442207681,0.739663573352754
"strong",1000,"EetaS2",0.0282337606221776,0.0239199754771517,0.00831749323955265,0.0538939663599258,0.756416040831722
"strong",1000,"EmuS1",0.0259659770446356,0.022422674795816,0.0055838864933424,0.0512367982916152,0.709067235880296
"strong",1000,"EmuS2",0.0144831300029124,0.0124783369486882,0.00682253903426683,0.0249889033113422,0.394599661688903
"strong",1000,"Etau",0.0147874529120421,0.0123267560464284,0.00235628132373059,0.0306791421272791,0.389806252679661
"weak",100,"EI1",0.309844878667149,0.236087752074145,0.122388192841896,0.598729719706696,2.36087752074145
"weak",100,"EI2",0.250746893325863,0.203143261265809,0.100987121544295,0.456607569297301,2.03143261265809
"weak",100,"EI3",0.182325761495818,0.163313374517416,0.0891298787678239,0.30432197475731,1.63313374517416
"weak",100,"ES",0.430611995035993,0.274301918306453,0.141468892857834,0.641262654068531,2.74301918306453
"weak",100,"Ea",0.232027469847624,0.190394049080977,0.0766892080627606,0.443194699030189,1.90394049080977
"weak",100,"EetaS1",0.151492014678797,0.119367439593671,0.0514293368837284,0.283814475935442,1.19367439593671
"weak",100,"EetaS2",0.168726751774101,0.137765694237353,0.0737018039843721,0.297561428896757,1.37765694237353
"weak",100,"EmuS1",0.144238274342818,0.115134321451822,0.0489330730878386,0.275906177670112,1.15134321451822
"weak",100,"EmuS2",0.108269840565408,0.0935662813726746,0.0602213383114286,0.166327144910794,0.935662813726746
"weak",100,"Etau",0.323174279769043,0.176974441248333,0.0376247845067596,0.505660397258829,1.76974441248333
"weak",250,"EI1",0.184447705579379,0.1512727735279,0.0755933804017736,0.330597995520353,2.39183256159494
"weak",250,"EI2",0.145077127799955,0.117275148695287,0.0581168059647768,0.268721658580101,1.85428291406015
"weak",250,"EI3",0.106890328857181,0.0973486131230271,0.0494011809599812,0.179243411531785,1.53921672263662
"weak",250,"ES",0.184137158574219,0.164540700656469,0.0812672809716319,0.301257464548719,2.60161690937202
"weak",250,"Ea",0.136271216373399,0.119322239347072,0.0449962961703,0.247554783676127,1.88665025924255
"weak",250,"EetaS1",0.0947092647316379,0.0770011852987951,0.0359458557174641,0.180256281404583,1.21749564038433
"weak",250,"EetaS2",0.104380246104123,0.0867765317341455,0.0478038660873502,0.18217877469164,1.3720574386489
"weak",250,"EmuS1",0.0904212650181342,0.0744972431324528,0.0355015148916955,0.170204650925709,1.17790483850944
"weak",250,"EmuS2",0.065990698620567,0.0600071890241104,0.0392245610777857,0.0946170293750063,0.948796966502227
"weak",250,"Etau",0.114704773922202,0.0918513334648429,0.0159896062220563,0.233652698097718,1.45229709936274
"weak",500,"EI1",0.123994678671847,0.10475327159535,0.0508773226041857,0.214031588818262,2.342354361527
"weak",500,"EI2",0.10338518416005,0.090549797917921,0.0481993741365121,0.177147575027928,2.0247550349334
"weak",500,"EI3",0.0804464043344049,0.0707543997365125,0.0377459117000952,0.137598853985808,1.58211647518035
"weak",500,"ES",0.130796742942177,0.115975783461077,0.0635706686291328,0.223158792098384,2.59329735562764
"weak",500,"Ea",0.0933074818507178,0.0829833179342418,0.0315147764948955,0.16413426683292,1.85556339899442
"weak",500,"EetaS1",0.0674391029187833,0.0556904098240813,0.0252811562316924,0.12502659342967,1.24527542061468
"weak",500,"EetaS2",0.0731796782410536,0.061738373001836,0.0329883716311803,0.128023595903273,1.38051198852343
"weak",500,"EmuS1",0.0645214305934839,0.053538641017548,0.0245561763676005,0.119285493823411,1.19716040738196
"weak",500,"EmuS2",0.0463573082672513,0.0426303375919417,0.0281009203190396,0.0699082894181274,0.953243327593464
"weak",500,"Etau",0.0807747001573991,0.0663651867662634,0.0155675632575142,0.164438608898253,1.48397068948834
"weak",1000,"EI1",0.0897524978650592,0.0764262920232286,0.0392509765828542,0.158262212858201,2.41681155914561
"weak",1000,"EI2",0.0728004990133145,0.0634343353682494,0.0323411720313391,0.128075136503656,2.00596981622644
"weak",1000,"EI3",0.0547727777449414,0.0498631134376175,0.0254344655069614,0.0904126492347191,1.5768100969022
"weak",1000,"ES",0.0941602951025477,0.0819048302473447,0.0453587959313127,0.15657053976799,2.59005814951061
"weak",1000,"Ea",0.066393058825856,0.0601878415608797,0.0223721372053137,0.118589803406975,1.90330666781724
"weak",1000,"EetaS1",0.048522406124929,0.0406426704831283,0.0179551153210394,0.0908024420740131,1.28523408918381
"weak",1000,"EetaS2",0.0526075195007869,0.045915448587323,0.0230294268952303,0.0938377899004002,1.45197397324301
"weak",1000,"EmuS1",0.0465202676323917,0.0394436583509124,0.0175760510436819,0.0877224288983384,1.24731799638404
"weak",1000,"EmuS2",0.0323958802896083,0.0300839751773879,0.0191067248913291,0.047187141400636,0.951338826325138
"weak",1000,"Etau",0.0582501474693411,0.0488055447232487,0.0100348562323133,0.11573137090042,1.54336683770678
